Fiscal Year,Request,Enacted,Actual,% U.S. Discretionary Expenditures,Notes
1959,31.97,,509.68,,Inflation adjusted to 2024 dollars
1960,,,766.27,,
1961,668.34,,"1,351.81",,
1962,"1,483.78",,"2,310.44",0.22%,
1963,"3,774.58",,"3,074.17",0.30%,
1964,"4,259.61",,"3,529.10",0.34%,
1965,"3,835.81",,"3,416.33",0.34%,
1966,"3,548.02",,"3,376.71",0.31%,
1967,"2,994.28",,"2,505.43",0.20%,
1968,"2,637.25",,"1,709.30",0.13%,"Pioneer moved to ""Physics & Astronomy"" but included here"
1969,"1,235.93",,"1,044.50",0.09%,"Pioneer in ""Physics & Astronomy"" account but included here"
1970,"1,602.19",,"1,566.23",0.14%,Pioneer returns to planetary account
1971,"1,497.62",,"1,563.34",0.14%,
1972,"2,920.45",,"2,759.97",0.25%,
1973,"3,008.81",,"3,166.16",0.30%,
1974,"2,889.48",,"3,455.88",0.33%,
1975,"1,945.53",,"1,933.90",0.18%,
1976,"1,883.18",,"1,832.07",0.17%,
1977,"1,235.80",,"1,267.59",0.11%,
1978,850.66,,795.03,0.07%,
1979,897.33,,874.79,0.08%,
1980,953.91,,952.61,0.08%,
1981,706.73,,690.99,0.06%,
1982,785.85,,748.25,0.06%,
1983,530.43,,618.95,0.05%,
1984,668.58,,707.64,0.06%,
1985,903.16,,915.75,0.07%,
1986,"1,097.10",,"1,080.60",0.08%,
1987,"1,098.94",,"1,078.10",0.08%,Supplemental request post-Challenger
1988,856.75,,913.63,0.07%,
1989,"1,229.98",,"1,121.46",0.09%,
1990,"1,902.88",,"1,260.39",0.10%,
1991,"1,563.63",,"1,455.53",0.11%,
1992,"1,823.01",,"1,386.93",0.11%,
1993,"1,113.60",,"1,073.69",0.09%,
1994,"1,390.27",,"1,678.11",0.14%,Start of Discovery program
1995,"1,847.13",,"1,748.60",0.15%,
1996,"1,711.06",,"1,723.46",0.16%,
1997,"1,403.65",,"1,380.20",0.12%,Restructured program consolidated Planetary Exploration and Physics and Astronomy accounts. No distinct Planetary request.
1998,,,"1,404.53",0.13%,
1999,,,"1,529.81",0.14%,
2000,,,"1,704.27",0.15%,
2001,,,"2,098.69",0.18%,
2002,,,"1,783.36",0.14%,"Reported ""Actuals"" contain DSN since they were reported in the FY2004 PBR."
2003,"2,525.51",,"2,640.07",0.16%,First year that DSN costs are included in the solar system exploration division. Program restructuring once again breaks out planetary-related programs.
2004,"3,198.12",,"3,165.95",0.18%,NASA moves to full-cost accounting for all projects.
2005,"3,143.48",,"2,766.72",0.15%,
2006,"2,963.04",,"2,654.82",0.14%,"Solar System Exploration Division created from Mars, Lunar, and Solar System divisions. NASA moves to CJS from VA/HUD appropriations. "
2007,"2,416.76",,"2,129.62",0.12%,Full-year CR. Final year of DSN costs in Solar Sytem/Planetary account.
2008,"2,023.91","$2,038.0","1,903.42",0.12%,Solar System Exploration renamed to Planetary Science Division. DSN moves to Heliophysics. NEOO moves to Exploration Systems Mission Directorate.
2009,"1,897.23","$2,006.3","1,831.68",0.10%,
2010,"1,888.72","$1,900.8","1,914.25",0.10%,NEO Observation program moves to PSD
2011,"2,051.75","$2,052.2","2,003.55",0.11%,
2012,"2,104.60","$2,049.5","2,050.91",0.12%,Pu-238 production restart added to Technology account
2013,"1,604.84","$1,904.6","1,638.76",0.10%,
2014,"1,607.10","$1,775.4","1,776.32",0.11%,NASA begins funding DOE Pu-238 infrastructure costs
2015,"1,656.58","$1,860.5","1,872.03",0.12%,
2016,"1,740.97","$2,086.0","2,082.21",0.14%,
2017,"1,901.54","$2,311.2","2,288.03",0.15%,
2018,"2,357.85","$2,722.5","2,710.27",0.18%,
2019,"2,679.41","$3,307.4","3,293.29",0.21%,Planetary Defense and Lunar Discovery & Exploration Program added
2020,"3,184.01","$3,185.5","3,184.71",0.17%,
2021,"3,010.55","$3,056.4","3,048.70",0.16%,
2022,"3,433.60","$3,347.8","3,348.19",0.19%,
2023,"3,160.20","$3,200.0","3,216.50",0.19%,Open Source Science added to Planetary Research
2024,"3,383.40","$2,716.8","2,716.80",0.14%,
2025,"2,731.70","$2,716.8",,,Full-year CR
2026,"1,891.30",,,,
2027,"1,861.30",,,,
2028,"1,867.30",,,,
2029,"1,822.30",,,,
2030,"1,851.30",,,,
