,Fiscal Year,Cassini,CONTOUR,DART,DAVINCI,Dawn,Deep Impact,Deep Space 1,Dragonfly,Europa Clipper,Galileo,Genesis,GRAIL,InSight,Juno,LADEE,Lucy,Lunar Orbiter,Lunar Prospector,Lunar Ranger,Lunar Surveyor,Magellan,Mariner 1 & 2,Mariner 3 & 4,Mariner 5,Mariner 6 & 7,Mariner 8 & 9,Mariner 10,Mars Observer,Mars Odyssey*,Mars Pathfinder,Mars Perseverance,MAVEN,MESSENGER,MER,MGS,MOMA,MPL/MCO,MRO,MSL Curiosity,NEAR,NEO Surveyor,New Horizons,OSIRIS-REx,Phoenix,Pioneer 10 & 11,Pioneer Venus,Psyche,Stardust,VERITAS,Viking,VIPER,Voyager
development + launch,,"$1,812.6",$143.2,$308.0,$106.5,$373.0,$333.3,$145.2,"$2,797.2","$3,764.6",$885.2,$211.7,$448.7,$759.7,$928.7,$267.1,$674.5,$197.5,$56.6,$241.6,$575.0,$463.2,$20.9,$79.7,$26.4,$123.0,$134.8,$111.6,$687.0,$218.0,$247.6,"$2,462.6",$553.8,$353.6,$816.5,$183.3,$142.0,$279.7,$546.1,"$2,393.9",$168.4,"$1,336.7",$565.7,$811.5,$407.4,$108.5,$195.8,$929.2,$167.2,,$953.9,$492.4,$336.6
operations,,"$1,400.0",$0.0,$18.3,,$129.1,$64.0,$25.1,,$520.7,$574.3,$50.0,$39.8,$63.0,$375.7,$8.5,$93.4,$3.0,$7.3,,,$165.5,,,,,$26.6,$8.9,$21.2,$270.9,$14.7,$517.1,$243.1,$172.6,$270.3,$100.3,$8.5,$16.3,$616.1,$743.6,$61.9,$103.2,$308.9,$153.1,$12.6,$72.8,$82.2,$46.5,$70.3,,$104.0,$0.0,$483.2
total,,"$3,212.5",$143.2,$326.3,$106.5,$502.1,$397.3,$170.3,"$2,797.2","$4,285.3","$1,459.5",$261.7,$488.5,$823.0,"$1,330.6",$275.6,$989.1,$200.5,$63.9,$241.6,$575.0,$628.7,$20.9,$79.7,$26.4,$123.0,$161.4,$120.5,$708.2,$488.9,$262.3,"$3,047.6",$796.9,$526.2,"$1,086.8",$283.6,$142.0,$296.0,"$1,162.2","$3,137.5",$230.3,"$1,439.9",$874.6,"$1,048.0",$420.0,$181.2,$278.0,$975.7,$237.5,,"$1,057.9",$492.4,$819.8
,1960,,,,,,,,,,,,,,,,,,,$19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1961,,,,,,,,,,,,,,,,,,,$45.1,$7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1962,,,,,,,,,,,,,,,,,,,$63.4,$36.8,,$13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1963,,,,,,,,,,,,,,,,,$4.0,,$71.3,$66.4,,$7.7,$31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1964,,,,,,,,,,,,,,,,,$20.0,,$30.3,$102.7,,,$28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1965,,,,,,,,,,,,,,,,,$58.6,,$11.0,$121.9,,,$16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1966,,,,,,,,,,,,,,,,,$72.6,,$1.0,$119.6,,,$2.3,$10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1967,,,,,,,,,,,,,,,,,$35.3,,,$87.5,,,$1.0,$12.1,$30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1968,,,,,,,,,,,,,,,,,$10.0,,,$33.0,,,,$3.4,$62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1969,,,,,,,,,,,,,,,,,,,,,,,,,$26.1,$31.6,,,,,,,,,,,,,,,,,,,$6.0,,,,,$12.4,,
,1970,,,,,,,,,,,,,,,,,,,,,,,,,$3.7,$68.5,$0.9,,,,,,,,,,,,,,,,,,$22.9,,,,,$40.2,,
,1971,,,,,,,,,,,,,,,,,,,,,,,,,$0.2,$31.3,$13.4,,,,,,,,,,,,,,,,,,$56.5,,,,,$41.1,,
,1972,,,,,,,,,,,,,,,,,,,,,,,,,,$17.0,$52.4,,,,,,,,,,,,,,,,,,$19.0,,,,,$186.3,,$9.2
,1973,,,,,,,,,,,,,,,,,,,,,,,,,,$7.2,$37.3,,,,,,,,,,,,,,,,,,$8.9,,,,,$265.2,,$6.1
,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,$11.2,,,,,,,,,,,,,,,,,,$5.3,,,,,$313.4,,$46.6
,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,$5.3,,,,,,,,,,,,,,,,,,$4.9,$27.3,,,,$95.2,,$77.0
,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$3.6,$63.0,,,,$39.5,,$112.6
,1976 TQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.9,$18.0,,,,$11.6,,$25.5
,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$2.3,$65.4,,,,$25.4,,$59.8
,1978,,,,,,,,,,$21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1.8,$23.2,,,,$20.0,,$16.0
,1979,,,,,,,,,,$78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$2.8,$9.0,,,,$5.0,,$16.7
,1980,,,,,,,,,,$116.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$2.8,$8.3,,,,$2.5,,$19.0
,1981,,,,,,,,,,$63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$2.0,$4.7,,,,,,$29.0
,1982,,,,,,,,,,$115.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1.9,$5.1,,,,,,$17.2
,1983,,,,,,,,,,$91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5.1,,,,,,$17.4
,1984,,,,,,,,,,$79.5,,,,,,,,,,,$29.0,,,,,,,,,,,,,,,,,,,,,,,,,$5.1,,,,,,$19.1
,1985,,,,,,,,,,$58.8,,,,,,,,,,,$92.5,,,,,,,$13.0,,,,,,,,,,,,,,,,,,$5.1,,,,,,$26.0
,1986,,,,,,,,,,$64.2,,,,,,,,,,,$120.3,,,,,,,$33.8,,,,,,,,,,,,,,,,,,$5.1,,,,,,$30.8
,1987,,,,,,,,,,$71.2,,,,,,,,,,,$105.3,,,,,,,$35.8,,,,,,,,,,,,,,,,,$3.7,$5.2,,,,,,$28.9
,1988,,,,,,,,,,$51.9,,,,,,,,,,,$73.0,,,,,,,$53.9,,,,,,,,,,,,,,,,,$3.5,$4.4,,,,,,$24.6
,1989,,,,,,,,,,$73.4,,,,,,,,,,,$60.2,,,,,,,$120.0,,,,,,,,,,,,,,,,,$3.7,$5.6,,,,,,$42.4
